platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
UEFA.tv,Additional sports surfaces,Video,uefa.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free football video/live candidate; verify ads rather than assuming every free title is monetized.,,,2026-09-06
ESPN,Additional sports surfaces,Video,espn.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips versus paid ESPN streaming and TV-provider access.,,,2026-09-06
FOX Sports,Additional sports surfaces,Video,foxsports.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips versus entitled live streams.,,,2026-09-06
NBA / League Pass,Additional sports surfaces,Video,nba.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free highlights and paid games; broadcast ads differ from separate player ads.,,,2026-09-06
NFL / NFL+,Additional sports surfaces,Video,nfl.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips and paid/device-limited games; browser entitlement varies.,,,2026-09-06
MLB.TV,Additional sports surfaces,Video,mlb.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips/promotional games versus subscription; broadcaster ad breaks.,,,2026-09-06
NHL video,Additional sports surfaces,Video,nhl.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free highlights versus region-specific paid game distributors.,,,2026-09-06
UFC Fight Pass,Additional sports surfaces,Video,ufcfightpass.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid catalog/events; free promotional clips separate.,,,2026-09-06
F1 TV,Additional sports surfaces,Video,f1tv.formula1.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service; no assumption that program/sponsor graphics are skippable ads.,,,2026-09-06
MotoGP VideoPass,Additional sports surfaces,Video,motogp.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid service plus free clips; paid unlocks not an ad feature.,,,2026-09-06
TrillerTV,Additional sports surfaces,Video,trillertv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free channels versus FITE+/PPV; verify present branding and ad model.,,,2026-09-06
Red Bull TV,Additional sports surfaces,Video,redbull.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official app describes no ads: negative control, not a normal ad-skipping target.",https://apps.apple.com/us/app/red-bull-tv-watch-live-events/id364269164?platform=tv,‎Red Bull TV: Watch Live Events App - App Store,2026-09-06
Tennis Channel,Additional sports surfaces,Video,tennischannel.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free FAST distribution and paid sports products; identify the actual host.,,,2026-09-06
FloSports,Additional sports surfaces,Video,flosports.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid sports and free clips; no general free tier assumed.,,,2026-09-06
TSN,Additional sports surfaces,Video,tsn.ca,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Canadian paid live/free clips; provider rights and broadcast ads.,,,2026-09-06
Sportsnet+,Additional sports surfaces,Video,sportsnetplus.ca,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Canadian paid sport; verify ad type rather than promising skips.,,,2026-09-06
beIN SPORTS,Additional sports surfaces,Video,beinsports.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free clips versus paid CONNECT/TOD products; region-specific domains.,,,2026-09-06
Aparat,Iran and Israel,Video,aparat.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Iranian video platform; official ad placements documented, current free/player behavior needs verification.",https://support.aparat.com/kb/articles/pdf/article-145,آپاراتپایگاه دانش > تبلیغات > ایجاد و ویرایش تبلیغ > جایگاه‌های نمایش تبلیغات در آیاتجایگاه‌های نمایش تبلیغات در آپاراتایجاد و ویرایش تبلیغ - niushamin - 2025-02-17آپارات به عنوان یکی از پلتفرم‌های برتر ویدئویی در ایران، از روش‌های مختلفی برای نمایش تبلیغات استفاده,2026-09-06
Filimo,Iran and Israel,Video,filimo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Iranian subscription/VOD; free portions and ads not established.,,,2026-09-06
